",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_proportionnelle,8.454351902008057,408.96699221817505,50,10,0.005,5,"
",selection_duel,8.862299919128418,585.0776226786385,50,10,0.005,2,"
",selection_duel_pondere,8.820865869522095,669.4235922908591,50,10,0.005,2,"
",selection_p_best,7.449082136154175,279.1663406388952,50,10,0.005,10,"
",selection_par_rang,7.360276222229004,279.1663406388952,50,10,0.005,10,"
",selection_proportionnelle,7.452116012573242,279.1663406388952,50,10,0.005,10,"
",selection_duel,8.420469284057617,279.1663406388952,50,10,0.005,5,"
",selection_duel_pondere,8.473742485046387,279.1663406388952,50,10,0.005,5,"
",selection_p_best,6.771891355514526,497.7305241359292,50,10,0.005,15,"
",selection_par_rang,6.7449634075164795,519.3086483338958,50,10,0.005,15,"
",selection_proportionnelle,6.802805185317993,439.83169933164163,50,10,0.005,15,"
",selection_duel,8.089364767074585,274.8548956428252,50,10,0.005,7,"
",selection_duel_pondere,8.090359926223755,324.8494186269233,50,10,0.005,7,"
",selection_p_best,5.757598400115967,285.368496030078,50,10,0.005,20,"
",selection_par_rang,5.774557113647461,285.368496030078,50,10,0.005,20,"
",selection_proportionnelle,5.780545473098755,285.368496030078,50,10,0.005,20,"
",selection_duel,7.468149662017822,285.368496030078,50,10,0.005,10,"
",selection_duel_pondere,7.421114206314087,285.368496030078,50,10,0.005,10,"
",selection_p_best,5.137261867523193,400.3437273999827,50,10,0.005,25,"
",selection_par_rang,5.1302759647369385,400.3437273999827,50,10,0.005,25,"
",selection_proportionnelle,5.120309591293335,400.3437273999827,50,10,0.005,25,"
",selection_duel,7.1319334506988525,354.01880482150807,50,10,0.005,12,"
",selection_duel_pondere,7.095022201538086,400.3437273999827,50,10,0.005,12,"
",selection_p_best,4.147866487503052,729.066894476056,50,10,0.005,30,"
",selection_par_rang,4.120321035385132,462.0544344721255,50,10,0.005,30,"
",selection_proportionnelle,4.130953073501587,710.1329392422136,50,10,0.005,30,"
",selection_duel,6.754897356033325,496.96684923759165,50,10,0.005,15,"
",selection_duel_pondere,6.823789834976196,496.5710134191754,50,10,0.005,15,"
",selection_p_best,3.4827024936676025,316.20775534472324,50,10,0.005,35,"
",selection_par_rang,3.48164963722229,751.1761890146382,50,10,0.005,35,"
",selection_proportionnelle,3.4697606563568115,942.8159435948442,50,10,0.005,35,"
